iter	RMSE
0	36.91410174
1	35.37463536
2	34.08957678
3	32.91792686
4	31.86644757
5	31.04787756
6	30.25581382
7	29.58481403
8	28.95362918
9	28.38115964
10	27.89320537
11	27.52099312
12	27.11789263
13	26.79525291
14	26.42610415
15	26.12003744
16	25.85393439
17	25.62970571
18	25.42657436
19	25.20061866
20	25.00066949
21	24.87008156
22	24.71237229
23	24.57338536
24	24.41602801
25	24.25772234
26	24.09182908
27	23.98791674
28	23.85937332
29	23.76199028
30	23.68637425
31	23.57253166
32	23.48224357
33	23.39060615
34	23.37256497
35	23.30259887
36	23.23599453
37	23.18929088
38	23.09484062
39	23.06848507
40	23.01933916
41	22.9582599
42	22.92918613
43	22.90784099
44	22.89422529
45	22.87687413
46	22.8263577
47	22.74931983
48	22.72948881
49	22.64680737
50	22.63612394
51	22.58530183
52	22.5041707
53	22.42015711
54	22.37523195
55	22.33318602
56	22.27530406
57	22.24530016
58	22.18843466
59	22.13775209
60	22.11407803
61	22.10669361
62	22.06173729
63	22.01996698
64	21.98255235
65	21.95020298
66	21.90062821
67	21.84733432
68	21.83799327
69	21.81831544
70	21.75666131
71	21.74300988
72	21.69184759
73	21.6262751
74	21.58067359
75	21.56938058
76	21.53893963
77	21.50125284
78	21.47669269
79	21.47095458
80	21.4255034
81	21.37342936
82	21.30427791
83	21.25113787
84	21.21159613
85	21.19768088
86	21.15371685
87	21.08925753
88	21.03819314
89	21.01082371
90	20.94756662
91	20.86380019
92	20.81190428
93	20.79106484
94	20.71242863
95	20.65618508
96	20.62387431
97	20.61796559
98	20.57705307
99	20.53204382
