iter	Passed	Remaining
0	56	5600
1	57	2839
2	59	1922
3	60	1460
4	62	1182
5	63	996
6	64	863
7	66	769
8	68	693
9	69	628
10	71	576
11	72	532
12	73	494
13	75	461
14	76	432
15	77	406
16	78	384
17	79	363
18	81	346
19	82	330
20	83	315
21	85	302
22	86	289
23	87	278
24	89	267
25	90	257
26	91	247
27	92	238
28	94	230
29	95	222
30	96	214
31	97	207
32	99	201
33	100	195
34	101	189
35	103	183
36	104	177
37	105	172
38	106	167
39	108	162
40	109	157
41	110	152
42	111	147
43	112	143
44	114	139
45	115	135
46	116	131
47	117	127
48	119	123
49	120	120
50	121	116
51	122	113
52	124	109
53	125	106
54	126	103
55	127	100
56	128	97
57	129	93
58	131	91
59	132	88
60	133	85
61	134	82
62	135	79
63	137	77
64	138	74
65	139	71
66	141	69
67	142	67
68	143	64
69	145	62
70	146	59
71	147	57
72	148	54
73	149	52
74	151	50
75	152	48
76	153	45
77	155	43
78	156	41
79	157	39
80	158	37
81	159	35
82	161	32
83	162	30
84	163	28
85	164	26
86	165	24
87	167	22
88	169	20
89	170	18
90	171	16
91	173	15
92	174	13
93	176	11
94	177	9
95	178	7
96	180	5
97	181	3
98	182	1
99	184	0
